person_id,distance_mi,time_Drive,cost_Drive,park_Drive,av_Drive,time_Carpool,cost_Carpool,park_Carpool,av_Carpool,time_TNC,cost_TNC,park_TNC,av_TNC,time_PublicTransit,cost_PublicTransit,park_PublicTransit,av_PublicTransit,time_Bike,cost_Bike,park_Bike,av_Bike,time_Walk,cost_Walk,park_Walk,av_Walk,time_ParkRide,cost_ParkRide,park_ParkRide,av_ParkRide,chosen_mode
1,3.42003685273346,9.505130309787535,1.0306806012922602,76.27455642965892,1,13.172070371567223,0.36804861988415055,38.13727821482946,1,14.240755246170236,9.379950700421865,0.0,1,30.392687258049026,3.0321055103727446,0.0,1,23.852301307316,0.0,0.0,1,79.19258035981305,0.0,0.0,0,28.716934948738245,3.10457668141427,46.21713739655266,1,Drive
2,3.101179000770644,10.09251376101714,0.8474185231200616,192.0446052187406,1,12.368540676655426,0.4174938531246046,96.0223026093703,1,11.094189909518446,8.573232595718043,0.0,1,25.142653184243866,2.815743255743025,0.0,1,19.703189356401012,0.0,0.0,1,56.890902670118564,0.0,0.0,0,24.225001807264118,3.014973085462397,60.323512366157885,1,PublicTransit
3,2.6049345635874834,8.79523950906552,0.7088359710281491,180.81583125725848,1,11.040970182540955,0.3058352344532146,90.40791562862924,1,10.901200016176746,7.376254494512699,0.0,1,23.204368023010417,2.4430787780585423,0.0,1,18.72991601350975,0.0,0.0,1,59.63537177900015,0.0,0.0,1,20.88233518316131,3.1721480859567417,3.3884718575892423,1,TNC
4,3.7109089849185155,12.27273651960161,1.0890517138092648,143.83953950193074,1,14.438823784879144,0.48402295759310715,71.91976975096537,1,13.786202116992921,9.09243983701975,0.0,1,32.60214353300931,3.0497135662492516,0.0,1,23.65661968646131,0.0,0.0,1,76.42358149993491,0.0,0.0,0,28.438126379250043,3.6167758468536,51.462992004697696,1,ParkRide
5,6.315605129724327,17.236250268684497,1.907535096466462,51.536169340216425,1,19.205248182532426,0.7901642269949171,25.768084670108212,1,21.318475939698494,15.461681099524801,0.0,1,36.475490498669835,2.7816107374039953,0.0,1,41.588689988786285,0.0,0.0,0,135.239115860005,0.0,0.0,0,36.54426203817434,3.165394344636418,38.407245908807774,1,Carpool
6,4.394320211137078,13.980458895794422,1.0600226632534748,189.06070399637576,1,20.021369451173044,0.4642689923620392,94.53035199818788,1,17.429613820946855,9.481726312916178,0.0,1,32.207582506274775,2.3113844482873676,0.0,1,31.677444537022435,0.0,0.0,1,76.65356260103381,0.0,0.0,0,24.88902790096444,2.9251613353049635,16.912862217424912,1,Carpool
7,3.459831958212774,10.1378575887091,1.1182905395823846,156.50859723291723,1,15.130535440602891,0.4279185462957421,78.25429861645861,1,15.251083420963736,10.024407213872257,0.0,1,27.39553385276804,2.6893217092436927,0.0,1,20.57807140639468,0.0,0.0,1,68.15159325324176,0.0,0.0,0,21.749758968429223,3.4147022829469753,33.437685528924206,1,Drive
8,1.9112966332179904,7.101595439797736,0.5170407474845518,60.474479024783456,1,9.727652331265336,0.18594581347243264,30.237239512391728,1,9.858835374720647,5.807611837381453,0.0,1,23.693895100329804,2.53918333021986,0.0,1,14.679246882322271,0.0,0.0,1,45.28598528901156,0.0,0.0,1,20.624925647803796,3.186202757706124,13.87675834738084,1,Drive
9,5.858045222199986,15.995801793567612,1.891058077621971,211.88196853450845,1,21.57927364166962,0.7672866328722072,105.94098426725422,1,17.671953348118304,13.12201698421588,0.0,1,34.72387398996975,2.6248860710660966,0.0,1,35.955335841242814,0.0,0.0,1,119.69684949073944,0.0,0.0,0,32.35610565979232,3.0892095044445886,53.87643413574726,1,TNC
10,20.529835194194124,45.26219813054001,5.0620008710266475,114.77640417033312,1,46.64154426168437,2.671471079235144,57.38820208516656,1,49.12508137023962,36.501531082190574,0.0,1,88.52668758612236,3.3213599539065894,0.0,1,132.16647084986576,0.0,0.0,0,483.63975649030095,0.0,0.0,0,81.55824117397096,5.7216981882397775,47.99323808126937,1,Drive
11,6.92980728682777,17.739942156569025,2.2795999984226603,66.4759543097657,1,23.101536834036995,0.9117520134644109,33.23797715488285,1,21.661890950163027,17.15434454060055,0.0,1,43.582436896997976,2.838689192442453,0.0,1,45.400133306830256,0.0,0.0,0,149.11340662995312,0.0,0.0,0,40.093416308059716,3.3541172374020953,69.58614747680427,1,Drive
12,5.84768427095407,15.381726372180317,1.9196786082034114,218.41229815149018,1,23.126787525240854,0.6846507495208546,109.20614907574509,1,21.019050706552164,14.026445569501067,0.0,1,33.24024483228933,2.8123573992334756,0.0,1,41.98074658704774,0.0,0.0,1,118.82338566123639,0.0,0.0,0,31.21959147320658,3.295513899315351,66.28564663880852,1,PublicTransit
